ip,ident,auth_user,timestamp,method,path,protocol,status,bytes,referer,user_agent
192.0.2.12,-,malachi.quillfeather,2025-11-10T01:12:10Z,GET,/api/v1/users,HTTP/1.1,200,10456,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.103,-,hollis.jessop,2025-11-10T01:13:40Z,DELETE,/api/v1/users,HTTP/2.0,200,3043,-,sample-http-client/1.14.2
198.51.100.161,-,-,2025-11-10T01:15:02Z,GET,/api/v1/products,HTTP/2.0,200,599,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
203.0.113.156,-,-,2025-11-10T01:17:25Z,GET,/api/v1/products,HTTP/2.0,200,3499,https://www.example.com/cart,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.102,-,-,2025-11-10T01:18:18Z,GET,/api/v1/orders,HTTP/2.0,200,9966,-,FixtureCrawler/0.8
192.0.2.114,-,-,2025-11-10T01:19:41Z,GET,/blog/release-notes,HTTP/1.1,200,31561,-,uptime-probe/3.0
198.51.100.160,-,-,2025-11-10T01:21:17Z,GET,/assets/logo.svg,HTTP/2.0,304,0,https://www.example.com/docs/getting-started,FixtureCrawler/0.8
203.0.113.123,-,-,2025-11-10T01:23:44Z,GET,/assets/hero.webp,HTTP/1.1,200,32056,https://www.example.com/index.html,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.31,-,celeste.gundersen,2025-11-10T01:26:36Z,GET,/logout,HTTP/1.1,200,8582,https://www.example.com/cart,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
192.0.2.75,-,-,2025-11-10T01:30:06Z,GET,/checkout,HTTP/2.0,200,9082,https://www.example.com/cart,FixtureCrawler/0.8
192.0.2.248,-,-,2025-11-10T01:32:56Z,GET,/,HTTP/1.1,200,4832,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.217,-,-,2025-11-10T01:33:38Z,GET,/search,HTTP/2.0,200,17066,https://www.example.com/,SampleBot/2.0 (+https://www.example.com/bot)
203.0.113.142,-,-,2025-11-10T01:34:59Z,GET,/assets/app.js,HTTP/2.0,304,0,https://www.example.com/search,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
198.51.100.119,-,-,2025-11-10T01:35:58Z,GET,/blog/release-notes,HTTP/2.0,404,730,https://www.example.com/,FixtureCrawler/0.8
203.0.113.173,-,-,2025-11-10T01:38:39Z,GET,/assets/logo.svg,HTTP/1.1,200,68412,https://www.example.com/docs/getting-started,uptime-probe/3.0
192.0.2.169,-,-,2025-11-10T01:39:53Z,GET,/assets/vendor.js,HTTP/1.1,200,71993,https://www.example.com/,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
203.0.113.150,-,lonan.iversen,2025-11-10T01:41:08Z,GET,/api/v1/products,HTTP/2.0,201,11170,-,sample-http-client/1.14.2
203.0.113.134,-,-,2025-11-10T01:44:23Z,GET,/sitemap.xml,HTTP/1.1,200,32058,-,uptime-probe/3.0
198.51.100.33,-,-,2025-11-10T01:47:32Z,HEAD,/assets/vendor.js,HTTP/1.1,200,0,https://www.example.com/about,sample-http-client/1.14.2
203.0.113.54,-,-,2025-11-10T01:50:38Z,POST,/account/settings,HTTP/2.0,401,420,https://www.example.com/cart,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.172,-,giselle.tanaka,2025-11-10T01:50:56Z,GET,/api/v1/users,HTTP/2.0,200,11098,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.21,-,-,2025-11-10T01:53:44Z,GET,/favicon.ico,HTTP/1.1,304,0,https://www.example.com/docs/getting-started,sample-http-client/1.14.2
198.51.100.253,-,-,2025-11-10T01:54:27Z,GET,/assets/app.js,HTTP/1.1,200,2843,https://www.example.com/blog/release-notes,SampleBot/2.0 (+https://www.example.com/bot)
192.0.2.189,-,-,2025-11-10T01:56:10Z,GET,/assets/logo.svg,HTTP/1.1,304,0,https://www.example.com/index.html,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.200,-,-,2025-11-10T01:58:20Z,GET,/api/v1/sessions,HTTP/1.1,200,278,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
203.0.113.4,-,-,2025-11-10T02:01:54Z,GET,/assets/logo.svg,HTTP/1.1,200,68747,https://www.example.com/robots.txt,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.4,-,-,2025-11-10T02:02:35Z,GET,/docs/api,HTTP/1.1,200,17062,https://www.example.org/links,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
198.51.100.101,-,-,2025-11-10T02:03:35Z,GET,/logout,HTTP/2.0,302,267,https://www.example.com/cart,FixtureCrawler/0.8
192.0.2.196,-,zinnia.vasquez,2025-11-10T02:04:17Z,PUT,/api/v1/products/search,HTTP/1.1,200,10195,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.57,-,-,2025-11-10T02:06:13Z,GET,/blog/field-guide-to-fixtures,HTTP/2.0,200,7178,https://blog.example.net/tools,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.107,-,-,2025-11-10T02:07:51Z,GET,/assets/hero.webp,HTTP/2.0,200,33097,https://www.example.com/about,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.151,-,-,2025-11-10T02:10:38Z,GET,/favicon.ico,HTTP/2.0,304,0,https://www.example.com/about,sample-http-client/1.14.2
192.0.2.94,-,-,2025-11-10T02:12:36Z,GET,/blog/field-guide-to-fixtures,HTTP/1.1,200,4632,https://www.example.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.160,-,-,2025-11-10T02:16:11Z,GET,/cart,HTTP/1.1,200,38910,-,SampleBot/2.0 (+https://www.example.com/bot)
198.51.100.23,-,-,2025-11-10T02:18:07Z,GET,/api/v1/users,HTTP/2.0,200,6150,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.68,-,-,2025-11-10T02:21:43Z,GET,/assets/vendor.js,HTTP/1.1,200,75643,-,FixtureCrawler/0.8
192.0.2.128,-,-,2025-11-10T02:23:55Z,GET,/docs/getting-started,HTTP/1.1,200,5910,https://blog.example.net/tools,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.182,-,-,2025-11-10T02:25:21Z,GET,/search,HTTP/2.0,200,21428,-,FixtureCrawler/0.8
192.0.2.210,-,-,2025-11-10T02:26:25Z,PUT,/api/v1/sessions,HTTP/2.0,200,12497,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
198.51.100.103,-,-,2025-11-10T02:29:46Z,HEAD,/assets/logo.svg,HTTP/2.0,200,0,https://www.example.com/sitemap.xml,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.162,-,-,2025-11-10T02:30:46Z,GET,/search,HTTP/1.1,200,31116,https://www.example.com/pricing,FixtureCrawler/0.8
192.0.2.194,-,-,2025-11-10T02:31:01Z,GET,/assets/hero.webp,HTTP/1.1,200,23021,https://www.example.com/search,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.11,-,-,2025-11-10T02:32:28Z,GET,/robots.txt,HTTP/2.0,200,28640,https://www.example.com/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
203.0.113.111,-,jorvik.chaudhry,2025-11-10T02:35:09Z,POST,/checkout,HTTP/1.1,302,269,-,FixtureCrawler/0.8
203.0.113.85,-,-,2025-11-10T02:35:20Z,GET,/assets/app.css,HTTP/1.1,200,46755,-,sample-http-client/1.14.2
198.51.100.7,-,-,2025-11-10T02:35:54Z,GET,/api/v1/sessions,HTTP/1.1,404,345,-,FixtureCrawler/0.8
198.51.100.17,-,-,2025-11-10T02:36:55Z,GET,/about,HTTP/2.0,200,7529,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.116,-,-,2025-11-10T02:38:23Z,GET,/index.html,HTTP/1.1,200,37416,https://www.example.com/pricing,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.141,-,-,2025-11-10T02:39:33Z,POST,/login,HTTP/2.0,302,462,https://www.example.com/cart,sample-http-client/1.14.2
203.0.113.102,-,-,2025-11-10T02:40:05Z,GET,/cart,HTTP/1.1,200,29025,https://www.example.com/docs/api,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
203.0.113.80,-,-,2025-11-10T02:41:48Z,GET,/assets/app.css,HTTP/1.1,200,48889,-,FixtureCrawler/0.8
203.0.113.69,-,-,2025-11-10T02:44:16Z,GET,/api/v1/health,HTTP/1.1,200,9356,https://www.example.com/cart,sample-http-client/1.14.2
192.0.2.224,-,-,2025-11-10T02:44:51Z,GET,/docs/api,HTTP/1.1,304,0,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.141,-,-,2025-11-10T02:48:04Z,GET,/logout,HTTP/2.0,200,9257,-,SampleBot/2.0 (+https://www.example.com/bot)
198.51.100.210,-,-,2025-11-10T02:51:19Z,GET,/assets/vendor.js,HTTP/1.1,200,80397,https://www.example.com/pricing,FixtureCrawler/0.8
198.51.100.48,-,-,2025-11-10T02:53:10Z,GET,/assets/app.css,HTTP/1.1,200,77654,https://www.example.com/blog/field-guide-to-fixtures,SampleBot/2.0 (+https://www.example.com/bot)
198.51.100.122,-,-,2025-11-10T02:55:02Z,GET,/assets/hero.webp,HTTP/1.1,200,2080,https://www.example.com/pricing,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
198.51.100.74,-,-,2025-11-10T02:55:50Z,GET,/assets/app.css,HTTP/1.1,200,76659,https://www.example.com/docs/api,FixtureCrawler/0.8
203.0.113.58,-,-,2025-11-10T02:58:35Z,POST,/api/v1/orders/4821,HTTP/2.0,200,12309,-,sample-http-client/1.14.2
198.51.100.176,-,-,2025-11-10T03:01:31Z,POST,/api/v1/sessions,HTTP/1.1,201,5255,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
192.0.2.172,-,-,2025-11-10T03:04:37Z,GET,/favicon.ico,HTTP/2.0,200,33895,-,uptime-probe/3.0
192.0.2.135,-,-,2025-11-10T03:05:04Z,DELETE,/api/v1/health,HTTP/1.1,200,4352,https://www.example.com/cart,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
203.0.113.169,-,-,2025-11-10T03:06:18Z,GET,/search,HTTP/2.0,200,32982,https://www.example.org/links,FixtureCrawler/0.8
192.0.2.247,-,jarek.larkspur,2025-11-10T03:08:28Z,GET,/api/v1/orders/4821,HTTP/2.0,200,4577,-,SampleBot/2.0 (+https://www.example.com/bot)
192.0.2.144,-,-,2025-11-10T03:09:12Z,GET,/blog/release-notes,HTTP/1.1,200,30545,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.240,-,-,2025-11-10T03:12:21Z,GET,/pricing,HTTP/2.0,200,45267,-,uptime-probe/3.0
203.0.113.21,-,-,2025-11-10T03:14:42Z,GET,/api/v1/sessions,HTTP/2.0,200,763,-,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.96,-,-,2025-11-10T03:15:06Z,GET,/blog/field-guide-to-fixtures,HTTP/2.0,200,6396,https://www.example.com/docs/api,FixtureCrawler/0.8
192.0.2.242,-,-,2025-11-10T03:17:22Z,GET,/cart,HTTP/1.1,200,9385,https://www.example.com/pricing,SampleBot/2.0 (+https://www.example.com/bot)
203.0.113.122,-,-,2025-11-10T03:20:58Z,GET,/index.html,HTTP/2.0,200,9514,https://www.example.com/docs/api,uptime-probe/3.0
192.0.2.236,-,-,2025-11-10T03:21:26Z,POST,/checkout,HTTP/2.0,403,577,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.212,-,-,2025-11-10T03:24:09Z,GET,/index.html,HTTP/1.1,200,29824,-,sample-http-client/1.14.2
198.51.100.121,-,-,2025-11-10T03:24:46Z,GET,/,HTTP/2.0,200,25855,https://blog.example.net/tools,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
198.51.100.113,-,-,2025-11-10T03:28:04Z,GET,/robots.txt,HTTP/2.0,200,40338,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.220,-,-,2025-11-10T03:30:23Z,GET,/blog/release-notes,HTTP/1.1,200,44129,-,sample-http-client/1.14.2
192.0.2.217,-,-,2025-11-10T03:30:37Z,DELETE,/api/v1/users,HTTP/1.1,200,5746,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
198.51.100.212,-,-,2025-11-10T03:32:41Z,GET,/api/v1/products/search,HTTP/2.0,429,864,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
203.0.113.91,-,-,2025-11-10T03:34:01Z,GET,/docs/api,HTTP/2.0,200,36908,https://www.example.com/pricing,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
203.0.113.235,-,-,2025-11-10T03:36:50Z,POST,/api/v1/orders,HTTP/2.0,200,234,https://www.example.com/cart,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
198.51.100.195,-,-,2025-11-10T03:37:31Z,GET,/api/v1/orders/4821,HTTP/1.1,200,5113,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
192.0.2.71,-,-,2025-11-10T03:39:11Z,GET,/,HTTP/2.0,200,38959,-,sample-http-client/1.14.2
198.51.100.88,-,-,2025-11-10T03:42:08Z,POST,/api/v1/products,HTTP/1.1,201,13132,https://www.example.com/cart,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
198.51.100.18,-,-,2025-11-10T03:43:49Z,GET,/search,HTTP/2.0,200,26962,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.103,-,-,2025-11-10T03:44:04Z,GET,/blog/field-guide-to-fixtures,HTTP/1.1,200,29266,https://www.example.com/,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
198.51.100.1,-,-,2025-11-10T03:46:43Z,POST,/logout,HTTP/2.0,200,8988,https://www.example.com/cart,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
198.51.100.218,-,-,2025-11-10T03:47:10Z,GET,/sitemap.xml,HTTP/1.1,200,21504,https://www.example.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
192.0.2.94,-,-,2025-11-10T03:47:24Z,GET,/api/v1/orders/4821,HTTP/1.1,200,9414,https://www.example.com/cart,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.28,-,-,2025-11-10T03:49:00Z,GET,/,HTTP/1.1,200,8628,https://www.example.com/,uptime-probe/3.0
198.51.100.254,-,-,2025-11-10T03:51:34Z,GET,/assets/logo.svg,HTTP/2.0,200,90518,https://www.example.com/pricing,sample-http-client/1.14.2
192.0.2.50,-,-,2025-11-10T03:54:32Z,GET,/assets/fonts/inter.woff2,HTTP/2.0,200,51099,-,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
198.51.100.134,-,-,2025-11-10T03:55:26Z,DELETE,/api/v1/orders,HTTP/1.1,200,12239,https://www.example.com/cart,sample-http-client/1.14.2
192.0.2.97,-,-,2025-11-10T03:56:22Z,GET,/assets/hero.webp,HTTP/1.1,200,6776,https://www.example.com/blog/field-guide-to-fixtures,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
192.0.2.120,-,-,2025-11-10T03:57:03Z,POST,/logout,HTTP/2.0,401,122,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
198.51.100.106,-,-,2025-11-10T03:57:35Z,GET,/assets/vendor.js,HTTP/1.1,200,91285,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
203.0.113.13,-,-,2025-11-10T03:59:31Z,POST,/api/v1/health,HTTP/2.0,200,5469,-,FixtureCrawler/0.8
198.51.100.8,-,-,2025-11-10T03:59:35Z,GET,/assets/app.js,HTTP/2.0,200,85932,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.34,-,-,2025-11-10T04:02:35Z,GET,/,HTTP/1.1,200,20577,https://www.example.com/pricing,FixtureCrawler/0.8
192.0.2.245,-,-,2025-11-10T04:03:04Z,GET,/,HTTP/1.1,200,37259,https://www.example.org/links,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
192.0.2.218,-,-,2025-11-10T04:03:24Z,GET,/,HTTP/2.0,200,42516,https://www.example.org/links,FixtureCrawler/0.8
203.0.113.16,-,-,2025-11-10T04:05:33Z,GET,/assets/vendor.js,HTTP/1.1,200,52397,-,sample-http-client/1.14.2
203.0.113.203,-,-,2025-11-10T04:07:04Z,GET,/blog/release-notes,HTTP/1.1,200,28411,https://www.example.com/,FixtureCrawler/0.8
203.0.113.204,-,-,2025-11-10T04:07:53Z,GET,/api/v1/users,HTTP/1.1,200,7531,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
198.51.100.25,-,-,2025-11-10T04:09:13Z,GET,/docs/api,HTTP/2.0,200,22609,https://www.example.org/links,uptime-probe/3.0
198.51.100.45,-,-,2025-11-10T04:09:28Z,GET,/api/v1/sessions,HTTP/2.0,503,424,https://www.example.com/cart,sample-http-client/1.14.2
198.51.100.241,-,-,2025-11-10T04:12:04Z,GET,/blog/field-guide-to-fixtures,HTTP/1.1,200,26486,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
198.51.100.76,-,imogen.hawthorne,2025-11-10T04:14:59Z,POST,/api/v1/health,HTTP/1.1,404,955,-,FixtureCrawler/0.8
203.0.113.151,-,-,2025-11-10T04:16:17Z,GET,/pricing,HTTP/1.1,301,638,https://www.example.com/docs/api,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
198.51.100.234,-,-,2025-11-10T04:19:39Z,GET,/assets/vendor.js,HTTP/1.1,200,79192,https://www.example.com/index.html,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
203.0.113.215,-,-,2025-11-10T04:23:07Z,GET,/api/v1/orders/4821,HTTP/2.0,200,9172,-,SampleBot/2.0 (+https://www.example.com/bot)
192.0.2.176,-,-,2025-11-10T04:25:35Z,GET,/assets/hero.webp,HTTP/1.1,200,17786,https://www.example.com/robots.txt,uptime-probe/3.0
198.51.100.158,-,-,2025-11-10T04:27:12Z,GET,/assets/app.js,HTTP/2.0,200,78353,-,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.205,-,-,2025-11-10T04:30:21Z,GET,/pricing,HTTP/1.1,200,14748,https://www.example.org/links,Mozilla/5.0 (X11; Linux x86_64) SampleBrowser/12.4
203.0.113.22,-,-,2025-11-10T04:31:44Z,GET,/assets/app.css,HTTP/2.0,200,80307,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) PlaceholderBrowser/7.1
192.0.2.127,-,-,2025-11-10T04:33:45Z,GET,/,HTTP/2.0,200,32868,https://www.example.com/docs/api,Mozilla/5.0 (Linux; Android 14) MobileSample/5.9
192.0.2.245,-,-,2025-11-10T04:36:14Z,GET,/assets/hero.webp,HTTP/1.1,200,62060,https://www.example.com/sitemap.xml,sample-http-client/1.14.2
198.51.100.174,-,-,2025-11-10T04:37:32Z,GET,/pricing,HTTP/1.1,200,16885,https://blog.example.net/tools,Mozilla/5.0 (Windows NT 10.0; Win64; x64) SampleBrowser/12.4
198.51.100.52,-,-,2025-11-10T04:41:09Z,GET,/search,HTTP/1.1,200,8425,https://www.example.com/docs/api,SampleBot/2.0 (+https://www.example.com/bot)
198.51.100.85,-,-,2025-11-10T04:41:16Z,GET,/assets/fonts/inter.woff2,HTTP/2.0,200,48241,https://www.example.com/docs/api,Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) MobileSample/5.9
