order_id	user_id	ordered_at	status	items	subtotal	shipping	tax	total	currency	payment_method	shipping_city
ORD-10102	73	2025-04-28T03:36:00Z	delivered	2	85.81	0.0	7.08	92.89	USD	card	Quillmoor
ORD-10103	116	2025-04-28T15:11:00Z	delivered	3	333.54	0.0	27.52	361.06	USD	card	Marrowfen
ORD-10104	40	2025-04-28T15:43:00Z	delivered	1	59.18	4.99	4.88	69.05	USD	gift-card	Eastvale
ORD-10105	111	2025-04-29T02:34:00Z	shipped	3	261.24	0.0	21.55	282.79	USD	card	Cinderhollow
ORD-10106	73	2025-05-02T13:14:00Z	delivered	2	498.59	0.0	41.13	539.72	USD	bank-transfer	Quillmoor
ORD-10107	27	2025-05-05T04:48:00Z	delivered	2	161.82	0.0	13.35	175.17	USD	card	Harrowgate
ORD-10108	100	2025-05-05T06:15:00Z	paid	8	695.52	0.0	57.38	752.9	USD	card	Ravensford
ORD-10109	11	2025-05-05T18:01:00Z	refunded	4	298.49	0.0	24.63	323.12	USD	card	Alderport
ORD-10110	111	2025-05-05T21:12:00Z	delivered	1	185.03	0.0	15.26	200.29	USD	card	Cinderhollow
ORD-10111	40	2025-05-06T00:19:00Z	delivered	1	75.09	0.0	6.19	81.28	USD	card	Eastvale
ORD-10112	107	2025-05-06T02:34:00Z	delivered	1	5.61	6.99	0.46	13.06	USD	card	Northmere
ORD-10113	31	2025-05-06T23:07:00Z	delivered	2	134.82	0.0	11.12	145.94	USD	card	Oakenshade
ORD-10114	91	2025-05-08T18:11:00Z	pending	5	194.08	0.0	16.01	210.09	USD	bank-transfer	Westhollow
ORD-10115	90	2025-05-09T08:17:00Z	shipped	2	282.73	0.0	23.33	306.06	USD	card	Yarrowend
ORD-10116	93	2025-05-10T00:38:00Z	paid	1	99.03	0.0	8.17	107.2	USD	card	Stonebay
ORD-10117	42	2025-05-10T15:24:00Z	delivered	2	65.06	9.99	5.37	80.42	USD	card	Dunmarrow
ORD-10118	95	2025-05-11T02:27:00Z	paid	1	249.85	0.0	20.61	270.46	USD	wallet	Kelbridge
ORD-10119	77	2025-05-12T19:09:00Z	shipped	2	176.29	0.0	14.54	190.83	USD	card	Harrowgate
ORD-10120	16	2025-05-13T11:39:00Z	delivered	1	129.8	0.0	10.71	140.51	USD	card	Yarrowend
ORD-10121	67	2025-05-14T21:51:00Z	shipped	7	350.6	0.0	28.92	379.52	USD	card	Alderport
ORD-10122	38	2025-05-17T02:53:00Z	delivered	3	340.11	0.0	28.06	368.17	USD	card	Westhollow
ORD-10123	75	2025-05-17T03:24:00Z	delivered	3	309.62	0.0	25.54	335.16	USD	bank-transfer	Fernbrook
ORD-10124	47	2025-05-17T21:48:00Z	pending	2	11.33	9.99	0.93	22.25	USD	card	Yarrowend
ORD-10125	94	2025-05-18T01:59:00Z	delivered	2	88.05	0.0	7.26	95.31	USD	card	Vellmont
ORD-10126	110	2025-05-18T14:18:00Z	paid	3	236.82	0.0	19.54	256.36	USD	card	Northmere
ORD-10127	43	2025-05-21T05:41:00Z	delivered	2	142.34	0.0	11.74	154.08	USD	wallet	Northmere
ORD-10128	73	2025-05-22T01:47:00Z	shipped	6	386.14	0.0	31.86	418.0	USD	bank-transfer	Quillmoor
ORD-10129	51	2025-05-24T08:09:00Z	paid	3	289.26	0.0	23.86	313.12	USD	card	Northmere
ORD-10130	1	2025-05-26T15:08:00Z	pending	2	217.87	0.0	17.97	235.84	USD	bank-transfer	Harrowgate
ORD-10131	14	2025-05-27T10:05:00Z	delivered	5	251.7	0.0	20.77	272.47	USD	card	Fernbrook
ORD-10132	67	2025-05-27T15:15:00Z	delivered	5	359.51	0.0	29.66	389.17	USD	wallet	Alderport
ORD-10133	29	2025-05-28T01:16:00Z	pending	4	382.26	0.0	31.54	413.8	USD	card	Eastvale
ORD-10134	82	2025-05-29T00:22:00Z	delivered	6	376.01	0.0	31.02	407.03	USD	gift-card	Brightwater
ORD-10135	64	2025-05-29T09:18:00Z	delivered	3	154.56	0.0	12.75	167.31	USD	card	Dunmarrow
ORD-10136	81	2025-05-29T18:27:00Z	delivered	8	854.39	0.0	70.49	924.88	USD	card	Marrowfen
ORD-10137	46	2025-05-30T05:32:00Z	delivered	5	328.65	0.0	27.11	355.76	USD	card	Glenhaven
ORD-10138	11	2025-05-31T08:53:00Z	shipped	5	334.02	0.0	27.56	361.58	USD	card	Alderport
ORD-10139	60	2025-06-01T22:31:00Z	delivered	7	503.49	0.0	41.54	545.03	USD	card	Marrowfen
ORD-10140	19	2025-06-02T06:36:00Z	shipped	2	199.0	0.0	16.42	215.42	USD	card	Ravensford
ORD-10141	48	2025-06-03T13:51:00Z	shipped	3	317.8	0.0	26.22	344.02	USD	card	Ravensford
ORD-10142	101	2025-06-03T15:46:00Z	refunded	5	477.15	0.0	39.36	516.51	USD	bank-transfer	Ironvale
ORD-10143	83	2025-06-03T19:38:00Z	shipped	2	79.33	0.0	6.54	85.87	USD	card	Ironvale
ORD-10144	116	2025-06-03T20:57:00Z	delivered	2	55.83	9.99	4.61	70.43	USD	gift-card	Marrowfen
ORD-10145	8	2025-06-06T18:44:00Z	cancelled	1	12.82	6.99	1.06	20.87	USD	card	Juniper Rest
ORD-10146	89	2025-06-09T01:41:00Z	delivered	2	269.11	0.0	22.2	291.31	USD	card	Marrowfen
ORD-10147	70	2025-06-10T02:50:00Z	refunded	4	290.49	0.0	23.97	314.46	USD	gift-card	Vellmont
ORD-10148	120	2025-06-11T09:25:00Z	delivered	1	9.37	9.99	0.77	20.13	USD	bank-transfer	Eastvale
ORD-10149	26	2025-06-12T02:15:00Z	shipped	3	214.22	0.0	17.67	231.89	USD	wallet	Thistledown
ORD-10150	42	2025-06-15T15:58:00Z	cancelled	2	285.28	0.0	23.54	308.82	USD	card	Dunmarrow
ORD-10151	41	2025-06-16T02:40:00Z	pending	2	138.56	0.0	11.43	149.99	USD	bank-transfer	Larkfield
ORD-10152	84	2025-06-16T15:48:00Z	shipped	1	185.51	0.0	15.3	200.81	USD	wallet	Dunmarrow
ORD-10153	63	2025-06-16T16:35:00Z	delivered	2	24.33	9.99	2.01	36.33	USD	invoice	Kelbridge
ORD-10154	43	2025-06-18T21:12:00Z	delivered	1	249.33	0.0	20.57	269.9	USD	gift-card	Northmere
ORD-10155	120	2025-06-20T14:36:00Z	delivered	5	201.41	0.0	16.62	218.03	USD	bank-transfer	Eastvale
ORD-10156	52	2025-06-22T17:18:00Z	delivered	2	33.36	4.99	2.75	41.1	USD	gift-card	Eastvale
ORD-10157	54	2025-06-22T17:47:00Z	shipped	2	142.13	0.0	11.73	153.86	USD	card	Larkfield
ORD-10158	77	2025-06-26T01:33:00Z	refunded	5	417.36	0.0	34.43	451.79	USD	invoice	Harrowgate
ORD-10159	10	2025-06-28T15:57:00Z	delivered	1	12.66	6.99	1.04	20.69	USD	wallet	Yarrowend
ORD-10160	3	2025-06-29T12:28:00Z	pending	4	264.69	0.0	21.84	286.53	USD	card	Alderport
ORD-10161	111	2025-07-01T04:14:00Z	delivered	2	324.7	0.0	26.79	351.49	USD	card	Cinderhollow
ORD-10162	94	2025-07-01T20:25:00Z	shipped	2	55.55	9.99	4.58	70.12	USD	card	Vellmont
ORD-10163	18	2025-07-02T04:20:00Z	pending	5	222.82	0.0	18.38	241.2	USD	invoice	Glenhaven
ORD-10164	56	2025-07-03T01:24:00Z	shipped	2	84.54	0.0	6.97	91.51	USD	wallet	Dunmarrow
ORD-10165	38	2025-07-03T15:59:00Z	shipped	4	568.45	0.0	46.9	615.35	USD	card	Westhollow
ORD-10166	42	2025-07-04T05:24:00Z	delivered	6	196.44	0.0	16.21	212.65	USD	card	Dunmarrow
ORD-10167	46	2025-07-05T08:30:00Z	shipped	8	443.62	0.0	36.6	480.22	USD	wallet	Glenhaven
ORD-10168	55	2025-07-05T08:31:00Z	pending	1	32.14	9.99	2.65	44.78	USD	card	Ravensford
ORD-10169	56	2025-07-09T06:13:00Z	refunded	3	234.9	0.0	19.38	254.28	USD	card	Dunmarrow
ORD-10170	7	2025-07-10T23:11:00Z	delivered	4	379.47	0.0	31.31	410.78	USD	bank-transfer	Ravensford
ORD-10171	97	2025-07-14T07:43:00Z	delivered	1	25.0	4.99	2.06	32.05	USD	bank-transfer	Alderport
ORD-10172	53	2025-07-14T15:23:00Z	delivered	6	647.32	0.0	53.4	700.72	USD	card	Brightwater
ORD-10173	44	2025-07-15T11:53:00Z	pending	3	36.09	4.99	2.98	44.06	USD	card	Stonebay
ORD-10174	20	2025-07-16T07:50:00Z	cancelled	4	255.28	0.0	21.06	276.34	USD	card	Ravensford
ORD-10175	67	2025-07-17T21:48:00Z	pending	2	91.85	0.0	7.58	99.43	USD	card	Alderport
ORD-10176	21	2025-07-19T04:26:00Z	shipped	1	99.92	0.0	8.24	108.16	USD	card	Ironvale
ORD-10177	118	2025-07-19T12:27:00Z	delivered	4	611.79	0.0	50.47	662.26	USD	wallet	Northmere
ORD-10178	45	2025-07-19T17:42:00Z	delivered	1	25.77	9.99	2.13	37.89	USD	card	Cinderhollow
ORD-10179	80	2025-07-21T07:53:00Z	shipped	5	336.2	0.0	27.74	363.94	USD	card	Quillmoor
ORD-10180	99	2025-07-23T10:31:00Z	shipped	1	32.4	4.99	2.67	40.06	USD	card	Ironvale
ORD-10181	77	2025-07-24T09:55:00Z	delivered	1	185.77	0.0	15.33	201.1	USD	gift-card	Harrowgate
ORD-10182	86	2025-07-26T02:56:00Z	delivered	4	395.76	0.0	32.65	428.41	USD	wallet	Kelbridge
ORD-10183	70	2025-07-26T23:10:00Z	delivered	3	164.44	0.0	13.57	178.01	USD	card	Vellmont
ORD-10184	62	2025-07-29T07:32:00Z	shipped	2	118.56	0.0	9.78	128.34	USD	wallet	Kelbridge
ORD-10185	112	2025-07-29T23:34:00Z	pending	5	237.56	0.0	19.6	257.16	USD	wallet	Vellmont
ORD-10186	81	2025-07-31T19:42:00Z	delivered	4	195.33	0.0	16.11	211.44	USD	card	Marrowfen
ORD-10187	105	2025-08-01T04:29:00Z	pending	2	211.08	0.0	17.41	228.49	USD	bank-transfer	Ironvale
ORD-10188	61	2025-08-01T22:02:00Z	cancelled	2	100.03	0.0	8.25	108.28	USD	wallet	Oakenshade
ORD-10189	106	2025-08-02T05:51:00Z	delivered	8	413.08	0.0	34.08	447.16	USD	card	Vellmont
ORD-10190	36	2025-08-02T08:14:00Z	delivered	4	483.81	0.0	39.91	523.72	USD	bank-transfer	Northmere
ORD-10191	14	2025-08-05T21:15:00Z	pending	2	258.56	0.0	21.33	279.89	USD	gift-card	Fernbrook
ORD-10192	28	2025-08-06T17:04:00Z	delivered	3	171.76	0.0	14.17	185.93	USD	card	Dunmarrow
ORD-10193	110	2025-08-06T20:46:00Z	delivered	4	152.13	0.0	12.55	164.68	USD	card	Northmere
ORD-10194	72	2025-08-08T12:56:00Z	paid	2	55.33	9.99	4.56	69.88	USD	invoice	Stonebay
ORD-10195	23	2025-08-08T14:37:00Z	shipped	2	205.15	0.0	16.92	222.07	USD	invoice	Marrowfen
ORD-10196	100	2025-08-11T23:32:00Z	delivered	1	9.5	6.99	0.78	17.27	USD	bank-transfer	Ravensford
ORD-10197	77	2025-08-14T07:52:00Z	delivered	3	320.3	0.0	26.42	346.72	USD	card	Harrowgate
ORD-10198	115	2025-08-15T21:59:00Z	delivered	2	139.31	0.0	11.49	150.8	USD	card	Alderport
ORD-10199	44	2025-08-16T10:47:00Z	pending	5	763.32	0.0	62.97	826.29	USD	card	Stonebay
ORD-10200	56	2025-08-17T02:15:00Z	shipped	7	186.5	0.0	15.39	201.89	USD	card	Dunmarrow
ORD-10201	42	2025-08-17T13:01:00Z	cancelled	1	9.59	9.99	0.79	20.37	USD	wallet	Dunmarrow
ORD-10202	39	2025-08-17T13:28:00Z	paid	2	108.43	0.0	8.95	117.38	USD	card	Larkfield
ORD-10203	69	2025-08-21T04:28:00Z	delivered	3	278.18	0.0	22.95	301.13	USD	card	Alderport
ORD-10204	98	2025-08-21T18:18:00Z	cancelled	1	99.39	0.0	8.2	107.59	USD	card	Oakenshade
ORD-10205	74	2025-08-22T01:41:00Z	delivered	2	121.95	0.0	10.06	132.01	USD	card	Juniper Rest
ORD-10206	116	2025-08-24T18:15:00Z	delivered	2	35.4	4.99	2.92	43.31	USD	wallet	Marrowfen
ORD-10207	47	2025-08-24T19:08:00Z	shipped	2	158.29	0.0	13.06	171.35	USD	wallet	Yarrowend
ORD-10208	67	2025-08-27T06:16:00Z	shipped	7	700.17	0.0	57.76	757.93	USD	invoice	Alderport
ORD-10209	99	2025-08-27T16:28:00Z	delivered	6	268.03	0.0	22.11	290.14	USD	card	Ironvale
ORD-10210	105	2025-08-29T17:55:00Z	delivered	6	365.11	0.0	30.12	395.23	USD	card	Ironvale
ORD-10211	92	2025-08-29T21:40:00Z	pending	4	124.65	0.0	10.28	134.93	USD	card	Yarrowend
ORD-10212	106	2025-08-30T03:24:00Z	cancelled	3	168.06	0.0	13.86	181.92	USD	card	Vellmont
ORD-10213	101	2025-09-01T11:01:00Z	cancelled	1	5.11	4.99	0.42	10.52	USD	card	Ironvale
ORD-10214	39	2025-09-01T14:56:00Z	refunded	5	512.74	0.0	42.3	555.04	USD	invoice	Larkfield
ORD-10215	107	2025-09-03T14:29:00Z	delivered	6	413.54	0.0	34.12	447.66	USD	card	Northmere
ORD-10216	84	2025-09-04T00:46:00Z	delivered	1	99.77	0.0	8.23	108.0	USD	card	Dunmarrow
ORD-10217	40	2025-09-04T09:52:00Z	refunded	3	263.62	0.0	21.75	285.37	USD	bank-transfer	Eastvale
ORD-10218	58	2025-09-07T02:07:00Z	paid	2	217.56	0.0	17.95	235.51	USD	card	Dunmarrow
ORD-10219	58	2025-09-07T06:54:00Z	pending	3	146.56	0.0	12.09	158.65	USD	card	Dunmarrow
ORD-10220	53	2025-09-15T08:22:00Z	delivered	6	541.94	0.0	44.71	586.65	USD	card	Brightwater
ORD-10221	105	2025-09-15T19:40:00Z	shipped	1	9.1	6.99	0.75	16.84	USD	card	Ironvale
ORD-10222	8	2025-09-16T03:45:00Z	shipped	5	237.27	0.0	19.57	256.84	USD	wallet	Juniper Rest
ORD-10223	43	2025-09-16T16:11:00Z	shipped	3	444.53	0.0	36.67	481.2	USD	card	Northmere
ORD-10224	95	2025-09-17T08:38:00Z	delivered	2	56.65	6.99	4.67	68.31	USD	card	Kelbridge
ORD-10225	110	2025-09-18T11:37:00Z	cancelled	1	99.09	0.0	8.17	107.26	USD	wallet	Northmere
ORD-10226	33	2025-09-19T00:01:00Z	delivered	4	311.92	0.0	25.73	337.65	USD	gift-card	Westhollow
ORD-10227	80	2025-09-21T04:17:00Z	shipped	3	85.06	0.0	7.02	92.08	USD	card	Quillmoor
ORD-10228	98	2025-09-22T08:17:00Z	refunded	4	152.38	0.0	12.57	164.95	USD	bank-transfer	Oakenshade
ORD-10229	46	2025-09-22T22:27:00Z	delivered	1	25.59	4.99	2.11	32.69	USD	card	Glenhaven
ORD-10230	3	2025-09-24T22:58:00Z	shipped	1	185.52	0.0	15.31	200.83	USD	wallet	Alderport
ORD-10231	112	2025-09-24T23:23:00Z	delivered	1	19.42	4.99	1.6	26.01	USD	bank-transfer	Vellmont
ORD-10232	40	2025-09-24T23:54:00Z	delivered	4	297.77	0.0	24.57	322.34	USD	card	Eastvale
ORD-10233	95	2025-09-26T04:09:00Z	shipped	4	420.4	0.0	34.68	455.08	USD	card	Kelbridge
ORD-10234	114	2025-09-27T21:08:00Z	delivered	2	112.67	0.0	9.3	121.97	USD	card	Ravensford
ORD-10235	73	2025-09-28T17:03:00Z	cancelled	1	5.77	6.99	0.48	13.24	USD	card	Quillmoor
ORD-10236	3	2025-09-29T02:14:00Z	refunded	3	120.82	0.0	9.97	130.79	USD	card	Alderport
ORD-10237	97	2025-09-29T10:28:00Z	shipped	1	46.57	4.99	3.84	55.4	USD	card	Alderport
